Time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18
2026-06-30 15:39:28.738,0,0,6830,0,0,0,2212,0,0,0,0,0,3719,0,0,0,0,0,0,0,5266,0,0,0,1518,0,8734,44,0,0,4471,0,0,0,757,0
2026-06-30 15:39:28.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5264,0,0,0,1481,0,8726,15,0,0,4439,0,0,0,772,0
2026-06-30 15:39:28.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5281,0,0,0,1495,0,8737,31,0,0,4487,0,0,0,772,0
2026-06-30 15:39:28.950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5271,0,0,0,1521,0,8720,31,0,0,4485,0,0,0,784,0
2026-06-30 15:39:28.959,12,0,6859,0,0,0,2240,0,0,0,0,0,3704,0,0,0,0,0,0,0,5271,0,0,0,1521,0,8720,31,0,0,4485,0,0,0,784,0
2026-06-30 15:39:29.059,12,0,6846,0,0,0,2253,0,0,0,0,0,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:29.069,12,0,6846,0,0,0,2253,0,0,0,0,0,3693,0,0,0,0,0,0,0,5207,0,0,0,1557,0,8678,31,0,0,4513,0,0,0,832,0
2026-06-30 15:39:29.170,11,0,6833,0,0,0,2266,0,0,0,0,0,3729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:29.178,11,0,6833,0,0,0,2266,0,0,0,0,0,3729,0,0,0,0,0,0,0,5185,0,0,0,1583,0,8679,48,0,0,4619,0,0,0,798,0
2026-06-30 15:39:29.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5199,0,0,0,1597,0,8669,62,0,0,4649,0,0,0,762,0
2026-06-30 15:39:29.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5147,0,0,0,1576,0,8634,33,0,0,4631,0,0,0,737,0
2026-06-30 15:39:29.385,12,0,6839,0,0,0,2269,0,0,0,0,0,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:29.395,12,0,6813,0,0,0,2269,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:29.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5178,0,0,0,1555,0,8648,19,0,0,4658,0,0,0,749,0
2026-06-30 15:39:29.499,34,0,6865,0,0,0,2256,0,0,0,0,0,3803,0,0,0,0,0,0,0,5178,0,0,0,1555,0,8648,19,0,0,4658,0,0,0,749,0
2026-06-30 15:39:29.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5188,0,0,0,1554,0,8655,21,0,0,4663,0,0,0,735,0
2026-06-30 15:39:29.612,23,0,6881,0,0,0,2257,0,0,0,0,0,3790,0,0,0,0,0,0,0,5188,0,0,0,1554,0,8655,21,0,0,4663,0,0,0,735,0
2026-06-30 15:39:29.617,23,0,6881,0,0,0,2257,0,0,0,0,0,3790,0,0,0,0,0,0,0,5227,0,0,0,1530,0,8693,20,0,0,4605,0,0,0,724,0
2026-06-30 15:39:29.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5254,0,0,0,1506,0,8739,21,0,0,4580,0,0,0,722,0
2026-06-30 15:39:29.715,12,0,6900,0,0,0,2248,0,0,0,0,0,3759,0,0,0,0,0,0,0,5254,0,0,0,1506,0,8739,21,0,0,4580,0,0,0,722,0
2026-06-30 15:39:29.816,0,0,6921,0,0,0,2219,0,0,0,0,0,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:29.824,0,0,6921,0,0,0,2219,0,0,0,0,0,3693,0,0,0,0,0,0,0,5342,0,0,0,1434,0,8825,22,0,0,4513,0,0,0,721,0
2026-06-30 15:39:29.924,0,0,6951,0,0,0,2149,0,0,0,0,0,3607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:29.930,0,0,6948,0,0,0,2122,0,0,0,0,0,3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:30.029,0,0,6961,0,0,0,2122,0,0,0,0,0,3565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:30.032,0,0,6961,0,0,0,2122,0,0,0,0,0,3565,0,0,0,0,0,0,0,5453,0,0,0,1373,0,8982,0,0,0,4419,0,0,0,692,0
2026-06-30 15:39:30.033,0,0,6961,0,0,0,2122,0,0,0,0,0,3565,0,0,0,0,0,0,0,5475,0,0,0,1402,0,8986,0,0,0,4421,0,0,0,680,0
2026-06-30 15:39:30.035,0,0,6958,0,0,0,2120,0,0,0,0,0,3565,0,0,0,0,0,0,0,5475,0,0,0,1402,0,8986,0,0,0,4421,0,0,0,680,0
2026-06-30 15:39:30.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5460,0,0,0,1413,0,8964,0,0,0,4403,0,0,0,657,0
2026-06-30 15:39:30.141,0,0,6993,0,0,0,2112,0,0,0,0,0,3578,0,0,0,0,0,0,0,5460,0,0,0,1413,0,8964,0,0,0,4403,0,0,0,657,0
2026-06-30 15:39:30.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5475,0,0,0,1402,0,8951,0,0,0,4355,0,0,0,618,0
2026-06-30 15:39:30.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5492,0,0,0,1404,0,8968,0,0,0,4292,0,0,0,594,0
