Timestamp,IMU1_Roll,IMU1_Pitch,IMU1_Yaw,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyroX,IMU1_GyroY,IMU1_GyroZ,IMU2_Roll,IMU2_Pitch,IMU2_Yaw,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyroX,IMU2_GyroY,IMU2_GyroZ
1782855270.397236,1.52,1.16,-67.66,-0.19,0.26,9.77,0.1,0.36,0.1,-0.51,-0.35,-48.17,0.06,-0.08,9.8,0.08,-0.2,-0.16
1782855270.4709613,1.52,1.16,-67.66,-0.19,0.26,9.77,0.05,0.34,0.16,-0.51,-0.35,-48.17,0.06,-0.08,9.8,0.13,-0.19,-0.13
1782855270.545209,1.52,1.16,-67.67,-0.19,0.26,9.77,0.08,0.36,0.15,-0.51,-0.35,-48.17,0.06,-0.08,9.79,0.1,-0.18,-0.15
1782855270.6194303,1.52,1.16,-67.67,-0.19,0.26,9.77,0.1,0.36,0.13,-0.51,-0.35,-48.17,0.05,-0.08,9.8,0.09,-0.2,-0.08
1782855270.6928685,1.52,1.16,-67.68,-0.19,0.26,9.77,0.09,0.36,0.11,-0.51,-0.35,-48.17,0.06,-0.08,9.79,0.09,-0.16,-0.12
1782855270.7669365,1.52,1.16,-67.68,-0.19,0.26,9.77,0.08,0.38,0.11,-0.51,-0.35,-48.17,0.05,-0.08,9.8,0.11,-0.16,-0.15
1782855270.8409085,1.52,1.16,-67.69,-0.18,0.25,9.77,0.1,0.37,0.12,-0.51,-0.35,-48.17,0.06,-0.08,9.79,0.06,-0.17,-0.12
1782855270.9149566,1.52,1.16,-67.69,-0.19,0.26,9.77,0.1,0.37,0.11,-0.51,-0.35,-48.17,0.05,-0.08,9.79,0.09,-0.18,-0.11
1782855270.9893808,1.52,1.16,-67.7,-0.19,0.27,9.78,0.1,0.36,0.13,-0.51,-0.35,-48.18,0.06,-0.08,9.79,0.08,-0.18,-0.11
1782855271.0629392,1.52,1.16,-67.7,-0.19,0.26,9.78,0.08,0.39,0.13,-0.5,-0.35,-48.18,0.05,-0.09,9.8,0.12,-0.17,-0.11
1782855271.1369421,1.52,1.16,-67.71,-0.19,0.26,9.77,0.07,0.37,0.15,-0.51,-0.35,-48.18,0.06,-0.08,9.8,0.09,-0.2,-0.12
1782855271.2109244,1.52,1.16,-67.71,-0.19,0.26,9.78,0.1,0.38,0.13,-0.51,-0.35,-48.18,0.06,-0.08,9.8,0.05,-0.17,-0.12
1782855271.2848773,1.52,1.16,-67.72,-0.19,0.26,9.77,0.11,0.36,0.14,-0.51,-0.35,-48.18,0.05,-0.08,9.8,0.1,-0.18,-0.09
1782855271.358882,1.52,1.16,-67.73,-0.19,0.26,9.77,0.09,0.38,0.11,-0.51,-0.35,-48.18,0.05,-0.07,9.8,0.11,-0.19,-0.13
1782855271.4329526,1.52,1.16,-67.73,-0.19,0.26,9.78,0.09,0.36,0.1,-0.51,-0.35,-48.18,0.06,-0.07,9.79,0.1,-0.2,-0.17
1782855271.5072093,1.52,1.16,-67.74,-0.19,0.25,9.76,0.09,0.34,0.13,-0.5,-0.35,-48.19,0.06,-0.08,9.8,0.09,-0.19,-0.15
1782855271.5814385,1.52,1.16,-67.74,-0.18,0.25,9.77,0.09,0.37,0.14,-0.5,-0.35,-48.19,0.05,-0.08,9.8,0.09,-0.2,-0.14
1782855271.654861,1.52,1.16,-67.75,-0.19,0.26,9.77,0.1,0.4,0.1,-0.5,-0.35,-48.19,0.06,-0.08,9.79,0.08,-0.19,-0.1
1782855271.7288709,1.52,1.16,-67.75,-0.19,0.25,9.77,0.06,0.37,0.13,-0.5,-0.35,-48.19,0.05,-0.08,9.8,0.08,-0.16,-0.14
1782855271.8028724,1.52,1.16,-67.76,-0.18,0.26,9.77,0.08,0.37,0.13,-0.5,-0.35,-48.19,0.06,-0.07,9.79,0.11,-0.18,-0.14
1782855271.8777044,1.52,1.16,-67.76,-0.19,0.26,9.77,0.05,0.34,0.09,-0.5,-0.35,-48.19,0.06,-0.08,9.8,0.09,-0.21,-0.15
1782855271.951245,1.52,1.16,-67.77,-0.18,0.26,9.77,0.1,0.35,0.13,-0.5,-0.35,-48.2,0.05,-0.08,9.79,0.09,-0.17,-0.11
1782855272.0248985,1.52,1.16,-67.77,-0.2,0.26,9.76,0.09,0.39,0.15,-0.5,-0.35,-48.2,0.05,-0.08,9.79,0.09,-0.17,-0.11
1782855272.0989785,1.52,1.16,-67.78,-0.18,0.26,9.77,0.06,0.34,0.1,-0.5,-0.35,-48.2,0.05,-0.08,9.79,0.09,-0.19,-0.1
1782855272.172906,1.52,1.16,-67.78,-0.19,0.26,9.77,0.09,0.37,0.12,-0.51,-0.35,-48.2,0.05,-0.08,9.8,0.1,-0.18,-0.13
1782855272.2468631,1.52,1.16,-67.79,-0.19,0.26,9.77,0.06,0.33,0.13,-0.51,-0.35,-48.2,0.06,-0.08,9.79,0.1,-0.2,-0.1
1782855272.3209612,1.52,1.16,-67.8,-0.19,0.25,9.77,0.07,0.36,0.1,-0.5,-0.35,-48.2,0.06,-0.08,9.8,0.09,-0.18,-0.11
1782855272.3952224,1.52,1.16,-67.8,-0.19,0.25,9.77,0.1,0.39,0.13,-0.5,-0.35,-48.2,0.05,-0.08,9.79,0.09,-0.18,-0.13
1782855272.4692283,1.52,1.16,-67.81,-0.18,0.26,9.77,0.09,0.35,0.1,-0.51,-0.35,-48.2,0.05,-0.07,9.79,0.08,-0.18,-0.11
1782855272.5430777,1.52,1.16,-67.81,-0.19,0.26,9.77,0.12,0.36,0.13,-0.51,-0.35,-48.2,0.06,-0.08,9.8,0.09,-0.18,-0.11
1782855272.6171727,1.52,1.16,-67.82,-0.18,0.25,9.76,0.09,0.35,0.12,-0.51,-0.35,-48.2,0.05,-0.08,9.8,0.11,-0.18,-0.11
1782855272.6912022,1.52,1.16,-67.82,-0.19,0.25,9.77,0.11,0.36,0.15,-0.51,-0.35,-48.21,0.06,-0.09,9.79,0.07,-0.2,-0.15
1782855272.764883,1.52,1.16,-67.83,-0.19,0.26,9.78,0.1,0.37,0.15,-0.51,-0.35,-48.21,0.05,-0.08,9.8,0.08,-0.19,-0.08
1782855272.8392413,1.52,1.16,-67.83,-0.19,0.26,9.78,0.09,0.35,0.12,-0.51,-0.35,-48.21,0.06,-0.08,9.8,0.1,-0.21,-0.14
1782855272.9129527,1.52,1.16,-67.84,-0.18,0.27,9.78,0.04,0.33,0.14,-0.51,-0.35,-48.21,0.05,-0.08,9.8,0.08,-0.19,-0.11
1782855272.986978,1.52,1.16,-67.84,-0.19,0.25,9.77,0.08,0.35,0.11,-0.51,-0.35,-48.21,0.06,-0.08,9.79,0.09,-0.16,-0.14
1782855273.0615222,1.52,1.16,-67.85,-0.2,0.26,9.78,0.09,0.35,0.12,-0.51,-0.35,-48.21,0.06,-0.08,9.79,0.11,-0.15,-0.07
1782855273.1352134,1.52,1.16,-67.85,-0.19,0.26,9.77,0.07,0.36,0.12,-0.51,-0.35,-48.21,0.05,-0.07,9.79,0.09,-0.19,-0.12
1782855273.208896,1.52,1.16,-67.86,-0.19,0.26,9.77,0.06,0.37,0.14,-0.51,-0.35,-48.21,0.06,-0.07,9.8,0.08,-0.2,-0.09
1782855273.2831793,1.52,1.16,-67.86,-0.19,0.26,9.77,0.09,0.39,0.13,-0.5,-0.35,-48.21,0.05,-0.08,9.79,0.08,-0.2,-0.13
